"ID","Nome","Total de Empregos","Cor"
"O84","Administração Pública","9,41 Milhões","#752277"
"A01","Agropecuária","1,37 Milhão","#105B10"
"N79","Agências de Viagens","75,4 Mil","#b7834b"
"I56","Alimentação","1,59 Milhão","#FFC41C"
"I55","Alojamento","352 Mil","#FFC41C"
"N77","Aluguéis Não-Imobiliários","225 Mil","#b7834b"
"M71","Arquitetura e Engenharia","296 Mil","#cc0000"
"R90","Atividades Artísticas","19 Mil","#93789e"
"H52","Atividades Auxiliares Dos Transportes","443 Mil","#9edae5"
"R91","Atividades Culturais","6,46 Mil","#93789e"
"R93","Atividades Esportivas e de Recreação","223 Mil","#93789e"
"L68","Atividades Imobiliárias","143 Mil","#a4bd99"
"M69","Atividades Jurídicas, de Contabilidade e de Auditoria","434 Mil","#cc0000"
"M75","Atividades Veterinárias","7,32 Mil","#cc0000"
"B09","Atividades de Apoio À Extração de Minerais","34,7 Mil","#330000"
"H53","Atividades de Entrega","187 Mil","#9edae5"
"R92","Atividades de Jogos de Azar","1,21 Mil","#93789e"
"K66","Atividades de Serviços Financeiros","94,6 Mil","#408e60"
"C11","Bebidas","138 Mil","#5E1F05"
"E38","Coleta de Resíduos","210 Mil","#2F2F6D"
"G46","Comércio Atacadista","1,64 Milhão","#17bcef"
"G47","Comércio Varejista","6,97 Milhões","#17bcef"
"G45","Comércio de Veículos Automotores","1,03 Milhão","#17bcef"
"C14","Confecção e Vestuário","684 Mil","#5E1F05"
"X01","Confidential","0","#C7C7C7"
"F41","Construção de Edifícios","1,32 Milhão","#E87600"
"M70","Consultoria em Gestão Empresarial","105 Mil","#cc0000"
"C19","Coque e Derivados de Petróleo","159 Mil","#5E1F05"
"C15","Couro e Calçados","372 Mil","#5E1F05"
"E36","Distribuição de Água","132 Mil","#2F2F6D"
"J58","Edição e Impressão","102 Mil","#57D200"
"P85","Educação","1,96 Milhão","#d66011"
"D35","Eletricidade e Gás","126 Mil","#e377c2"
"E37","Esgoto e Saneamento","16,5 Mil","#2F2F6D"
"B05","Extração de Carvão Mineral","5,36 Mil","#330000"
"B07","Extração de Minerais Metálicos","87,9 Mil","#330000"
"B08","Extração de Minerais Não-Metálicos","97,8 Mil","#330000"
"B06","Extração de Petróleo e Gás Natural","31,8 Mil","#330000"
"E39","Gestão de Resíduos","1,52 Mil","#2F2F6D"
"C18","Impressão e Reprodução de Gravações","122 Mil","#5E1F05"
"C33","Manutenção de Máquinas e Equipamentos","189 Mil","#5E1F05"
"C24","Metalurgia","237 Mil","#5E1F05"
"C28","Máquinas e Equipamentos","408 Mil","#5E1F05"
"C31","Móveis","283 Mil","#5E1F05"
"X00","Não Declarado","0","#C7C7C7"
"F42","Obras de Infra-Estrutura","889 Mil","#E87600"
"U99","Organismos Internacionais","4,89 Mil","#4C4C4C"
"S94","Organizações Associativas","867 Mil","#c7c7c7"
"M74","Outras Atividades Profissionais","96,9 Mil","#cc0000"
"S96","Outras Atividades de Serviços Pessoais","232 Mil","#c7c7c7"
"C30","Outros Equipamentos de Transporte","112 Mil","#5E1F05"
"C17","Papel e Celulose","185 Mil","#5E1F05"
"A03","Pesca e Aqüicultura","20,4 Mil","#105B10"
"M72","Pesquisa e Desenvolvimento Científico","49,4 Mil","#cc0000"
"J63","Prestação de Serviços de Informação","115 Mil","#57D200"
"C10","Produtos Alimentícios","1,53 Milhão","#5E1F05"
"C32","Produtos Diversos","158 Mil","#5E1F05"
"C26","Produtos Eletrônicos","167 Mil","#5E1F05"
"C21","Produtos Farmoquímicos e Farmacêuticos","103 Mil","#5E1F05"
"C20","Produtos Químicos","282 Mil","#5E1F05"
"C13","Produtos Têxteis","296 Mil","#5E1F05"
"C22","Produtos de Borracha e de Material Plástico","456 Mil","#5E1F05"
"C16","Produtos de Madeira","189 Mil","#5E1F05"
"C25","Produtos de Metal","510 Mil","#5E1F05"
"C23","Produtos de Minerais Não-Metálicos","457 Mil","#5E1F05"
"C12","Produtos do Fumo","13,7 Mil","#5E1F05"
"C27","Produtos e Materiais Elétricos","224 Mil","#5E1F05"
"J59","Produção Cinematográfica, de Vídeos e de Programas de Televisão","29,9 Mil","#57D200"
"A02","Produção Florestal","109 Mil","#105B10"
"M73","Publicidade e Pesquisa de Mercado","92,3 Mil","#cc0000"
"S95","Reparação e Manutenção de Equipamentos","117 Mil","#c7c7c7"
"J60","Rádio e Televisão","96,3 Mil","#57D200"
"Q86","Saúde Humana","1,89 Milhão","#800000"
"Q87","Saúde Humana Integradas com Assistência Social","105 Mil","#800000"
"K65","Seguros e Previdência Complementar","150 Mil","#408e60"
"N78","Seleção e Agenciamento de Mão-de-Obra","552 Mil","#b7834b"
"T97","Serviços Domésticos","5,14 Mil","#f7b6d2"
"F43","Serviços Especializados para Construção","812 Mil","#E87600"
"K64","Serviços Financeiros","649 Mil","#408e60"
"Q88","Serviços de Assistência Social","138 Mil","#800000"
"N82","Serviços de Escritório","1,37 Milhão","#b7834b"
"J62","Serviços de Tecnologia da Informação","341 Mil","#57D200"
"N81","Serviços para Edifícios","1,54 Milhão","#b7834b"
"J61","Telecomunicações","191 Mil","#57D200"
"H50","Transporte Aquaviário","45,6 Mil","#9edae5"
"H51","Transporte Aéreo","71,7 Mil","#9edae5"
"H49","Transporte Terrestre","1,78 Milhão","#9edae5"
"C29","Veículos Automotores","489 Mil","#5E1F05"
"N80","Vigilância e Segurança","712 Mil","#b7834b"
