"ID","Nome","Total de Empregos","Cor"
"0101","Generais Das Forças Armadas","0","#A4BD99"
"0102","Oficiais Das Forças Armadas","0","#A4BD99"
"0103","Praças Das Forças Armadas","0","#A4BD99"
"0201","Oficiais da Polícia Militar","0","#A4BD99"
"0202","Capitães da Polícia Militar","0","#A4BD99"
"0203","Tenentes da Polícia Militar","0","#A4BD99"
"0211","Subtenentes e Sargentos da Policia Militar","0","#A4BD99"
"0212","Cabos e Soldados da Policia Militar","0","#A4BD99"
"0301","Oficiais Superiores Dos Bombeiros","0","#A4BD99"
"0302","Oficiais Intermediários Dos Bombeiros","0","#A4BD99"
"0303","Tenentes Dos Bombeiros","0","#A4BD99"
"0311","Sargentos Dos Bombeiros","0","#A4BD99"
"0312","Cabos e Soldados Dos Bombeiros","0","#A4BD99"
"1111","Legisladores","0","#752277"
"1112","Dirigentes da Administração Pública","23,4 Mil","#752277"
"1113","Magistrados","14,8 Mil","#752277"
"1114","Dirigentes do Serviço Público","773 Mil","#752277"
"1115","Gestores Públicos","3,83 Mil","#752277"
"1130","Líderes Indígenas","253","#752277"
"1141","Dirigentes de Partidos Políticos","274","#752277"
"1142","Dirigentes de Entidades Patronais e Profissionais","3,19 Mil","#752277"
"1143","Dirigentes de Entidades Religiosas","328","#752277"
"1144","Dirigentes de Organizações Sem Fins Lucrativos","1,07 Mil","#752277"
"1210","Diretores Gerais","27,4 Mil","#752277"
"1221","Diretores de Produção e Operações Agropecuária","745","#752277"
"1222","Diretores de Produção em Indústria Extrativa","1,59 Mil","#752277"
"1223","Diretores de Obras em Construção","2,42 Mil","#752277"
"1224","Diretores de Operações em Comércio","1,58 Mil","#752277"
"1225","Diretores de Operações em Turismo","1,03 Mil","#752277"
"1226","Diretores de Operações em Armazenagem e Transporte","2,62 Mil","#752277"
"1227","Diretores de Operações em Intermediação Financeira","1,87 Mil","#752277"
"1231","Diretores Administrativos e Financeiros","66 Mil","#752277"
"1232","Diretores de Recursos Humanos","2,9 Mil","#752277"
"1233","Diretores de Comercialização e Marketing","12,6 Mil","#752277"
"1234","Diretores de Suprimentos e Afins","1,94 Mil","#752277"
"1236","Diretores de Serviços de Informática","2,83 Mil","#752277"
"1237","Diretores de Pesquisa e Desenvolvimento","1,39 Mil","#752277"
"1238","Diretores de Manutenção","1,81 Mil","#752277"
"1311","Diretores de Serviços Sociais","18,6 Mil","#752277"
"1312","Diretores de Serviços de Saúde","26,4 Mil","#752277"
"1313","Diretores de Serviços Educacionais","49,5 Mil","#752277"
"1411","Gerentes de Produção e Operações em Agropecuária","15,7 Mil","#752277"
"1412","Gerentes de Produção e Operações na Indústria","75,1 Mil","#752277"
"1413","Gerentes em Construção","12,8 Mil","#752277"
"1414","Gerentes de Operações Comerciais","231 Mil","#752277"
"1415","Gerentes de Operações em Turismo","68,1 Mil","#752277"
"1416","Gerentes de Operações em Armazenagem e Transporte","42,6 Mil","#752277"
"1417","Gerentes de Operações em Intermediação Financeira","29,7 Mil","#752277"
"1421","Gerentes Administrativos e Financeiros","392 Mil","#752277"
"1422","Gerentes de Recursos Humanos","50,6 Mil","#752277"
"1423","Gerentes de Comercialização e Marketing","371 Mil","#752277"
"1424","Gerentes de Suprimentos e Afins","30,1 Mil","#752277"
"1425","Gerentes de Tecnologia da Informação","37,7 Mil","#752277"
"1426","Gerentes de Pesquisa e Desenvolvimento","17,3 Mil","#752277"
"1427","Gerentes de Manutenção e Afins","24,4 Mil","#752277"
"2011","Profissionais da Biotecnologia","2,27 Mil","#cc0000"
"2012","Profissionais da Metrologia","1,78 Mil","#cc0000"
"2021","Engenheiros Mecatrônicos","2,27 Mil","#cc0000"
"2030","Pesquisadores Das Ciências Biológicas","3,41 Mil","#cc0000"
"2031","Pesquisadores Das Ciências Naturais e Exatas","1,63 Mil","#cc0000"
"2032","Pesquisadores de Engenharia e Tecnologia","10,4 Mil","#cc0000"
"2033","Pesquisadores Das Ciências da Saúde","2,73 Mil","#cc0000"
"2034","Pesquisadores Das Ciências da Agricultura","1,82 Mil","#cc0000"
"2035","Pesquisadores Das Ciências Sociais e Humanas","2,42 Mil","#cc0000"
"2041","Peritos Criminais","5,16 Mil","#cc0000"
"2111","Profissionais da Matemática","3,15 Mil","#cc0000"
"2112","Profissionais de Estatística","3,72 Mil","#cc0000"
"2122","Engenheiros em Computação","6,32 Mil","#cc0000"
"2123","Administradores de Tecnologia da Informação","21,1 Mil","#cc0000"
"2124","Analistas de Tecnologia da Informação","284 Mil","#cc0000"
"2131","Físicos","1,16 Mil","#cc0000"
"2132","Químicos","7,5 Mil","#cc0000"
"2133","Profissionais de Astronomia e Afins","344","#cc0000"
"2134","Geólogos e Afins","6,44 Mil","#cc0000"
"2140","Engenheiros Ambientais","2,65 Mil","#cc0000"
"2141","Arquitetos e Urbanistas","19,9 Mil","#cc0000"
"2142","Engenheiros Civis","84,1 Mil","#cc0000"
"2143","Engenheiros Eletricistas","34,7 Mil","#cc0000"
"2144","Engenheiros Mecânicos","33,4 Mil","#cc0000"
"2145","Engenheiros Químicos","10,6 Mil","#cc0000"
"2146","Engenheiros Metalurgistas","3,67 Mil","#cc0000"
"2147","Engenheiros de Minas","4,71 Mil","#cc0000"
"2148","Engenheiros Agrimensores e Cartógrafos","985","#cc0000"
"2149","Engenheiros de Produção","42,6 Mil","#cc0000"
"2151","Oficiais de Convés","8,89 Mil","#cc0000"
"2152","Oficiais de Máquinas da Marinha","2,94 Mil","#cc0000"
"2153","Pilotos da Aeronáutica","9,69 Mil","#cc0000"
"2211","Biólogos","14,6 Mil","#cc0000"
